label,kind,checkpoint,decoder,duration,steps,n_seeds,n_warm,gen_min_ms,gen_med_ms,gen_max_ms,dec_min_ms,dec_med_ms,dec_max_ms,total_med_ms,wall_s
2B-turbo 60s,tensorrt,acestep-v15-turbo,decoder_mixed_b8_60s,58.0,8,5,4,116.92500114440918,117.26653575897217,118.95442008972168,44.79241371154785,44.98481750488281,48.00891876220703,162.25135326385498,13.743765830993652
2B-turbo refit 60s,tensorrt,acestep-v15-turbo,decoder_mixed_refit_b8_60s,58.0,8,5,4,129.87899780273438,134.1705322265625,137.03227043151855,49.53789710998535,50.62973499298096,53.54881286621094,184.80026721954346,15.303970575332642
2B-turbo 240s,tensorrt,acestep-v15-turbo,decoder_mixed_b8_240s,238.0,8,5,4,447.0672607421875,453.7090063095093,460.96301078796387,1212.770700454712,1226.8580198287964,1246.0870742797852,1680.5670261383057,22.587474822998047
2B-turbo refit 240s,tensorrt,acestep-v15-turbo,decoder_mixed_refit_b8_240s,238.0,8,5,4,645.4639434814453,817.9869651794434,1212.785005569458,2219.301223754883,14055.219054222107,40750.433683395386,14873.20601940155,93.68799924850464
2B-base 60s,tensorrt,acestep-v15-base,decoder_base_mixed_b8_60s,58.0,8,5,4,122.21550941467285,123.68500232696533,125.30755996704102,43.0145263671875,45.549869537353516,46.317338943481445,169.23487186431885,14.828919887542725
2B-base refit 60s,tensorrt,acestep-v15-base,decoder_base_mixed_refit_b8_60s,58.0,8,5,4,128.4182071685791,129.84907627105713,134.43589210510254,45.26686668395996,47.925710678100586,49.53575134277344,177.77478694915771,16.160123586654663
XL-turbo 60s,tensorrt,acestep-v15-xl-turbo,decoder_xl-turbo_bf16mix_dynbatch_b8_60s,58.0,8,5,4,326.54500007629395,333.4008455276489,334.22279357910156,46.16594314575195,46.78082466125488,50.03476142883301,380.1816701889038,31.114168167114258
PT 2B-turbo 60s,pytorch,acestep-v15-turbo,,58.0,8,5,4,416.0637855529785,432.9216480255127,460.0965976715088,206.21442794799805,207.22973346710205,211.69185638427734,640.1513814926147,14.36025333404541
PT 2B-turbo 240s,pytorch,acestep-v15-turbo,,238.0,8,5,4,1051.1643886566162,1065.5534267425537,1103.3387184143066,883.7604522705078,904.9358367919922,913.0542278289795,1970.489263534546,21.605700969696045
PT 2B-base 60s,pytorch,acestep-v15-base,,58.0,8,5,4,420.77112197875977,436.7607831954956,555.3243160247803,203.9785385131836,212.46039867401123,217.96274185180664,649.2211818695068,14.373034477233887
PT XL-turbo 60s,pytorch,acestep-v15-xl-turbo,,58.0,8,5,4,789.7841930389404,795.082688331604,818.1829452514648,204.0882110595703,208.95302295684814,217.05317497253418,1004.0357112884521,19.639659881591797
